CODE;price;old price;ostatok
114630;26736;31500.00;1
114632;127493;;10
114634;165335;;13
114656;84268;99285.00;4
114657;76424;83506.00;17
114658;163654;;0
114665;161984;;1
114669;27090;;0
114670;107351;117299.00;22
114672;62839;;11
114673;103754;;12
114707;163380;;21
114960;12620;;0
114971;16990;;8
114972;16990;;21
114973;16590;;9
114974;16590;;6
114975;18590;;2
114977;16870;;9
114978;23640;;1
114983;15990;;4
114984;19990;;6
114985;27990;;8
115312;14300;;0
115313;25600;;0
115435;24419;;0
115492;39599;;27
115626;18090;;0
115629;51840;;0
116083;29130;;0
116103;22550;41690.00;0
116343;25380;;0
116344;56250;;20
116346;20360;;11
116347;31050;;10
116348;41560;;0
116861;35880;;0
116863;37800;;777777
116866;24780;;777777
116867;38450;;777777
116868;64120;;777777
116890;15820;;777777
116901;14550;;777777
116903;28940;;777777
116906;80800;;777777
116907;25660;;777777
116909;20950;;777777
116918;62190;;777777
116919;48710;;777777
116920;36340;;777777
116921;29410;;777777
116924;32680;;777777
116927;22530;;777777
116930;32680;;777777
116931;22530;;777777
116932;24560;;777777
116933;30990;;777777
116935;13490;;777777
116936;18041;;777777
116938;13490;;777777
116939;18990;;777777
116940;29040;;777777
116941;38350;;777777
117674;19090;29825.00;0
117675;7033;;0
117676;20980;;0
117677;10502;;0
117678;10502;;0
117679;11928;;0
117680;15729;;0
117681;15729;;0
117682;38610;;0
118105;16350;;777777
118106;10610;;0
118114;19855;;777777
118115;40590;;777777
118116;16540;;777777
118117;34940;;777777
118119;42840;;777777
118135;47620;;777777
118136;25350;;777777
118142;33500;;777777
118152;24570;;777777
118687;46840;;7
118688;58690;;0
118689;55470;;8
119889;12990;;33
119890;15990;;50
119949;45037;;0
119950;70062;;3
119951;45037;;0
119952;70062;;1
119955;61923;;0
119957;49416;;2
119958;74434;;0
119959;49416;;0
119960;74434;;0
119963;96329;;1
119964;128859;;0
119965;50044;;2
119966;77877;;1
119967;50044;;4
119968;77877;;7
119969;55045;;1
119970;82574;;0
119971;55045;;2
119973;62555;;0
119974;95504;;0
120215;7843;;65
120216;7843;;29
120218;7843;;30
120219;7843;;48
120318;29572;;0
120319;42756;;0
120320;62435;;0
120409;9990;;23
120410;14990;;0
120636;23050;;0
120637;36150;;0
120645;17500;;0
120646;32950;;0
120647;24750;;0
120648;36400;;0
120649;25400;;0
120652;23050;;0
120653;23050;;0
120654;35400;;0
120655;35400;;0
120815;17990;;65
121383;20143;;17
121423;86657;;777777
121426;71040;;777777
121427;69980;;777777
121429;132638;;777777
121430;70740;;777777
121431;176850;;777777
121506;85581;;1
121507;116448;;6
121509;89524;;0
121510;50967;;2
121511;127822;;1
121515;69931;;1
121516;53043;;1
121809;14631;;0
121970;91990;;26
121971;48290;;35
121972;16140;18830.00;0
121973;22280;25990.00;0
121974;33420;38990.00;0
